text1,text2,label
Faire un road trip aux USA,Assembler un meuble en kit,0
Comment fonctionne ChatGPT,Configurer un nouveau smartphone,1
Changer une ampoule,Écrire un poème,0
Réviser pour le bac,Étudier les mathématiques,1
Programmer une IA,Installer un antivirus,1
Faire un footing matinal,S'entraîner à la salle,1
Préparer une tarte aux pommes,Aller à un concert de jazz,0
Faire un footing matinal,Faire du yoga tous les matins,1
Écrire un poème,Visiter le Louvre,1
Cuisiner un curry indien,Faire un gâteau au chocolat,1
Étudier les mathématiques,Aller à un concert de jazz,0
Faire un check-up annuel,Réviser pour le bac,0
Visiter le Louvre,Aller à un concert de jazz,1
Faire un check-up annuel,Faire des macarons,0
Suivre une formation en ligne,Préparer un exposé,1
Visiter les pyramides d’Égypte,Suivre un programme de musculation,0
Suivre une formation en ligne,Cuisiner un curry indien,0
Manger équilibré chaque jour,Faire un check-up annuel,1
Écrire un poème,Visiter le Louvre,1
Assembler un meuble en kit,Marcher 10 000 pas par jour,0
Explorer les temples d’Angkor,Consulter un nutritionniste,0
Comment fonctionne ChatGPT,Cuisiner un curry indien,0
Aller à un concert de jazz,Cuisiner un curry indien,0
Analyser une œuvre d’art,Aller à un concert de jazz,1
Apprendre le japonais,Assembler un meuble en kit,0
Visiter les pyramides d’Égypte,Apprendre le japonais,0
Lire un roman policier,Aller à un concert de jazz,1
Suivre un programme de musculation,Faire un footing matinal,1
Faire du yoga tous les matins,Faire un gâteau au chocolat,0
Programmer une IA,Comment fonctionne ChatGPT,1
Suivre une formation en ligne,Assembler un meuble en kit,0
Découvrir la Thaïlande,Partir en croisière,1
Préparer une tarte aux pommes,Faire des macarons,1
Utiliser une perceuse,Étudier les mathématiques,0
Programmer une IA,Comment fonctionne ChatGPT,1
Réviser pour le bac,Préparer un exposé,1
Griller un steak parfaitement,Préparer une tarte aux pommes,1
Faire un footing matinal,Comment fonctionne ChatGPT,0
Comment fonctionne ChatGPT,Faire une cure de vitamine D,0
Suivre une formation en ligne,Préparer un exposé,1
Préparer une tarte aux pommes,Griller un steak parfaitement,1
Apprendre le japonais,Suivre une formation en ligne,1
Découvrir la Thaïlande,Explorer les temples d’Angkor,1
Faire une cure de vitamine D,Faire un footing matinal,0
Faire du yoga tous les matins,Suivre un programme de musculation,1
Suivre une formation en ligne,Configurer un nouveau smartphone,0
Étudier les mathématiques,Écrire un poème,0
Faire du yoga tous les matins,Apprendre le japonais,0
Écrire un poème,Aller à un concert de jazz,1
Découvrir la Thaïlande,Explorer les temples d’Angkor,1
Utiliser une perceuse,Réparer une fuite d’eau,1
Apprendre le japonais,Suivre une formation en ligne,1
Suivre un programme de musculation,Faire des pompes,1
Apprendre le japonais,Étudier les mathématiques,1
Cuisiner un curry indien,Préparer une tarte aux pommes,1
Assembler un meuble en kit,Configurer un nouveau smartphone,0
Faire des pompes,Apprendre le japonais,0
Analyser une œuvre d’art,Écrire un poème,1
Découvrir la Thaïlande,Aller à un concert de jazz,0
Assembler un meuble en kit,Réparer une fuite d’eau,1
Étudier les mathématiques,Explorer les temples d’Angkor,0
Marcher 10 000 pas par jour,Manger équilibré chaque jour,1
Manger équilibré chaque jour,Faire une cure de vitamine D,1
Réparer une fuite d’eau,Utiliser une perceuse,1
Griller un steak parfaitement,Aller à un concert de jazz,0
Faire des pompes,Suivre un programme de musculation,1
Partir en croisière,Découvrir la Thaïlande,1
Écrire un poème,Explorer les temples d’Angkor,0
Manger équilibré chaque jour,Consulter un nutritionniste,1
Faire un footing matinal,Partir en croisière,0
S'entraîner à la salle,Faire du yoga tous les matins,1
Écrire un poème,Visiter les pyramides d’Égypte,0
Assembler un meuble en kit,Visiter les pyramides d’Égypte,0
Manger équilibré chaque jour,Marcher 10 000 pas par jour,1
Programmer une IA,S'entraîner à la salle,0
Analyser une œuvre d’art,Apprendre le japonais,0
Utiliser une perceuse,Comment fonctionne ChatGPT,0
Visiter les pyramides d’Égypte,Partir en croisière,1
Programmer une IA,Installer un antivirus,1
Configurer un nouveau smartphone,Coder un site web en HTML,1
Faire un gâteau au chocolat,Utiliser une perceuse,0
Assembler un meuble en kit,Changer une ampoule,1
S'entraîner à la salle,Comment fonctionne ChatGPT,0
Faire une cure de vitamine D,Faire un footing matinal,0
Changer une ampoule,Utiliser une perceuse,1
Faire un gâteau au chocolat,Préparer une tarte aux pommes,1
S'entraîner à la salle,Faire des pompes,1
Faire une cure de vitamine D,Faire un check-up annuel,1
Réviser pour le bac,Étudier les mathématiques,1
Utiliser une perceuse,Installer une étagère murale,1
Suivre une formation en ligne,Étudier les mathématiques,1
Étudier les mathématiques,Suivre une formation en ligne,1
Consulter un nutritionniste,Suivre un programme de musculation,0
Faire des pompes,Lire un roman policier,0
Consulter un nutritionniste,Marcher 10 000 pas par jour,1
S'entraîner à la salle,Explorer les temples d’Angkor,0
Installer une étagère murale,Changer une ampoule,1
Visiter le Louvre,S'entraîner à la salle,0
Réparer une fuite d’eau,Assembler un meuble en kit,1
Visiter le Louvre,Marcher 10 000 pas par jour,0
Visiter les pyramides d’Égypte,Découvrir la Thaïlande,1
Découvrir la Thaïlande,Explorer les temples d’Angkor,1
Visiter le Louvre,Installer un antivirus,0
Suivre un programme de musculation,Visiter les pyramides d’Égypte,0
Explorer les temples d’Angkor,Réparer une fuite d’eau,0
Faire du yoga tous les matins,Faire un footing matinal,1
Découvrir la Thaïlande,Marcher 10 000 pas par jour,0
Utiliser une perceuse,Changer une ampoule,1
Aller à un concert de jazz,Faire un footing matinal,0
Préparer une tarte aux pommes,Cuisiner un curry indien,1
Coder un site web en HTML,Écrire un poème,0
Cuisiner un curry indien,Griller un steak parfaitement,1
Réparer une fuite d’eau,Changer une ampoule,1
S'entraîner à la salle,Faire un footing matinal,1
Préparer une tarte aux pommes,Cuisiner un curry indien,1
Faire du yoga tous les matins,Partir en croisière,0
Installer un antivirus,Griller un steak parfaitement,0
Faire un footing matinal,Faire un check-up annuel,0
Faire un gâteau au chocolat,Cuisiner un curry indien,1
Lire un roman policier,Visiter le Louvre,1
Installer une étagère murale,Marcher 10 000 pas par jour,0
Faire un check-up annuel,Cuisiner un curry indien,0
Étudier les mathématiques,Suivre une formation en ligne,1
Installer un antivirus,Faire des macarons,0
Étudier les mathématiques,Partir en croisière,0
Faire du yoga tous les matins,Faire des pompes,1
Suivre un programme de musculation,Faire des pompes,1
Explorer les temples d’Angkor,Visiter les pyramides d’Égypte,1
Écrire un poème,Coder un site web en HTML,0
Cuisiner un curry indien,Manger équilibré chaque jour,0
Visiter le Louvre,Changer une ampoule,0
Comment fonctionne ChatGPT,Faire un gâteau au chocolat,0
Préparer un exposé,S'entraîner à la salle,0
Réparer une fuite d’eau,Visiter les pyramides d’Égypte,0
Suivre un programme de musculation,Installer une étagère murale,0
Découvrir la Thaïlande,Assembler un meuble en kit,0
Faire des pompes,S'entraîner à la salle,1
