text1,text2,label
Prendre soin de sa peau,Dormir suffisamment,1
Présenter un projet,Peindre un tableau,0
Cuire du riz,Entretenir le jardin,0
Prendre soin de sa peau,Manger équilibré,1
Présenter un projet,Donner des conseils,0
Faire un discours,Envoyer un email,1
Conduire une trottinette,Tester un programme,0
Organiser un placard,Faire cuire des pâtes,0
Faire une omelette,Préparer une soupe,1
Planter des fleurs,Faire un discours,0
Préparer un gâteau,Préparer un dessert,1
Faire un discours,Donner des conseils,0
Prendre la parole en public,Faire une omelette,0
Corriger des copies,Tondre la pelouse,0
Conduire un camion,Réparer une fuite,0
Jouer de la batterie,Préparer un smoothie,0
Demander un crédit,Créer une base de données,0
Développer une application,Monitorer un système,1
Prendre la parole en public,Faire du networking,1
Installer un logiciel,Déployer une application,1
Utiliser un vélo électrique,Écrire une chanson,0
Développer une application,Programmer en Python,1
Faire du vélo,Faire du jogging,1
Faire de la physiothérapie,Faire de la méditation,1
Faire de la méditation,Dormir suffisamment,1
Prendre le train,Utiliser un scooter,1
Modérer un débat,Prendre l'air frais,0
Programmer en Python,Faire de la photographie,0
Installer un logiciel,Sculpter une statue,0
Pratiquer le surf,Acheter des vêtements,0
Négocier un contrat,Prendre la parole,1
Faire griller de la viande,Préparer une salade,1
Faire de l'escalade,Créer un algorithme,0
Expliquer un concept,Prendre la parole,0
Faire une sauce,Cuire du riz,1
Acheter des vêtements,Ouvrir un compte,1
Aller chez le dentiste,Prendre l'air frais,1
Prendre la parole,Animer une réunion,1
Faire une omelette,Comparer les prix,0
Configurer un réseau,Marcher en ville,0
Faire du shopping,Ouvrir un compte,1
Laver les vitres,Réparer un meuble,1
Peindre un tableau,Écrire une chanson,1
Modérer un débat,Faire la vaisselle,0
Planter des fleurs,Tondre la pelouse,1
Faire le ménage,Tailler les arbres,1
Cuire du riz,Cuisiner un rôti,1
Organiser une formation,Faire la vaisselle,0
Négocier un contrat,Prendre la parole en public,1
Pratiquer le surf,Développer une application,0
