text1,text2,label
Create an algorithm,Develop an application,1
Mow the lawn,Maintain the garden,1
Create a drawing,Paint with watercolor,1
Automate a task,Bake a cake,0
Practice relaxation,Test a program,0
Make an omelet,Prepare a smoothie,1
Take a bus,Create a website,0
Take a bus,Ride a bike,1
Shop online,Compare prices,1
Deploy an application,Organize a closet,0
Wash windows,Water plants,1
Sculpt a statue,Organize training,0
Create artwork,Compose a melody,1
Improvise on piano,Practice yoga,0
Wash windows,Do housework,1
Prepare a lesson,Do tutoring,1
Sculpt a statue,Take vitamins,0
Sculpt a statue,Play guitar,1
Make a phone call,Shop online,0
Drink plenty of water,Do exercise,1
Give a presentation,Lead a discussion,1
Invest in stocks,Go hiking,0
Prepare a smoothie,Negotiate a contract,0
Practice yoga,Make an omelet,0
Write a message,Play basketball,0
Drive a truck,Take a plane,1
Take vitamins,Test a program,0
Explain a concept,Teach mathematics,1
Write a letter,Drink plenty of water,0
Monitor a system,Do maintenance,1
Give advice,Supervise students,1
Prepare a lesson,Lead a discussion,1
Play basketball,Go skiing,1
Play piano,Take photographs,1
Play football,Create a website,0
See a doctor,Do exercise,1
Water plants,Paint a wall,1
Wash windows,Do dishes,1
Prepare a salad,Cook pasta,1
Do exercise,Do meditation,1
Make a pie,Cook vegetables,1
Organize training,Take photographs,0
Take a bus,Do meditation,0
Go skiing,Swim in pool,1
Apply for credit,Cook a roast,0
Create an algorithm,Monitor a system,1
Ride a motorcycle,Do tutoring,0
Open an account,Manage finances,1
Improvise on piano,Cook pasta,0
Practice yoga,Automate a task,0
Use a scooter,Hitchhike,1
Swim in pool,Paint a wall,0
Organize training,Teach mathematics,1
Make a phone call,Install software,0
See a doctor,Drive a truck,0
Play piano,Prepare an exam,0
Pay bills,Do accounting,1
Play guitar,Do tutoring,0
Sculpt a statue,Play football,0
Create an algorithm,Install software,1
Pay bills,Save money,1
Cook rice,Maintain the garden,0
Monitor a system,Develop an application,1
Give a presentation,Organize a conference,0
Configure a network,Play piano,0
Maintain the garden,Configure a network,0
Cook vegetables,Do networking,0
Negotiate a contract,Speak in public,1
Drive a truck,Evaluate students,0
Take the train,Take a ferry,1
Sleep enough,Drink plenty of water,1
Deploy an application,Install a shelf,0
Peel vegetables,Repair a computer,0
Apply for credit,Play volleyball,0
Cook vegetables,Go hiking,0
See a doctor,Take vitamins,1
Get a massage,Do meditation,1
Speak publicly,Do networking,1
Use an electric bike,Use a taxi,1
Automate a task,Pay bills,0
Practice relaxation,Take care of skin,1
Compare prices,Configure a network,0
Drive a car,Analyze data,0
Drive a truck,Take a bus,1
Create an algorithm,Practice surfing,0
Make a pie,Bake bread,1
Sleep enough,Create a database,0
Sculpt a statue,Get a massage,0
Prepare a lesson,Organize training,1
Wash windows,Teach a language,0
Prepare a smoothie,Cook pasta,1
Sing a song,Compose a melody,1
Drink plenty of water,Get a health checkup,1
Sculpt a statue,Write a letter,0
Monitor a system,Go rock climbing,0
Write a message,Prepare a lesson,0
Make a phone call,Moderate a debate,1
Prepare a smoothie,Return a product,0
Teach a language,Apply for credit,0
Negotiate a contract,Organize a closet,0
Give advice,Explain a concept,1
Prepare a smoothie,Write a message,0
See a doctor,Drink plenty of water,1
Drive a truck,Take the subway,1
Play drums,Sing a song,1
Prepare a lesson,Do tutoring,1
Write a letter,Do stretching,0
Get a massage,Practice boxing,0
Give advice,Monitor a system,0
Prepare a salad,Prepare dessert,1
Sculpt a statue,Program in Python,0
See a doctor,Get a health checkup,1
Practice boxing,Mow the lawn,0
Develop an application,Automate a task,1
Swim in pool,Play football,1
Tidy the house,Water plants,1
Take a ferry,Use a taxi,1
Teach a language,Evaluate students,1
Sleep enough,Practice relaxation,1
Do exercise,Prepare an exam,0
Pay bills,Give advice,0
Teach a language,Do tutoring,1
Do stretching,Do physiotherapy,1
Invest in stocks,Play basketball,0
Drink plenty of water,Do meditation,1
Go dancing,Practice boxing,1
Do stretching,Get fresh air,1
Drink plenty of water,Do physiotherapy,1
Give a presentation,Take the train,0
Shop online,Buy clothes,1
Organize training,Give advice,1
Bake bread,Send an email,0
Prepare dessert,Make a pie,1
Write a message,Mow the lawn,0
Take the train,Develop an application,0
Pay bills,Shop online,1
Plant flowers,Play violin,0
See a doctor,Paint with watercolor,0
Monitor a system,Analyze data,1
Bake bread,Build an object,0
Take vitamins,Take care of skin,1
Bake a cake,Prepare a salad,1
Organize training,Apply for credit,0
Make a phone call,Drive a truck,0
Invest in stocks,Sleep enough,0
Swim in pool,Moderate a debate,0
Speak publicly,Write a letter,1
Write a letter,Sculpt a statue,0
Prepare a dish,Grill meat,1
Plant flowers,Paint a wall,1
Prepare a salad,Prepare a dish,1
Build an object,Do dishes,1
Negotiate a contract,Prepare a smoothie,0
Prepare dessert,Give a speech,0
Take a ferry,Go skiing,0
Grill meat,Open an account,0
Drive a car,Walk in the city,1
Do exercise,Do meditation,1
Prepare a salad,Take care of skin,0
Wash windows,Mow the lawn,1
Ride a motorcycle,Plant flowers,0
Bake bread,Go jogging,0
Give advice,Do tutoring,1
Walk in the city,Give advice,0
See a doctor,Do stretching,1
Draw a portrait,Sculpt a statue,1
Do stretching,Get a health checkup,1
Do networking,Speak in public,1
Monitor a system,Deploy an application,1
Cook rice,Build an object,0
Play football,Plant flowers,0
Organize training,Give a presentation,1
Grill meat,Hitchhike,0
Paint a picture,Play guitar,1
See a doctor,Practice relaxation,1
Take a bus,Use an electric bike,1
Create an algorithm,Configure a network,1
Compare prices,Manage finances,1
Play violin,Sing a song,1
Take a bus,Hitchhike,1
Manage finances,Open an account,1
Wash windows,Go rock climbing,0
Shop online,Cook pasta,0
Play piano,Go shopping,0
Configure a network,Develop an application,1
Hitchhike,Walk in the city,1
Manage finances,Secure a server,0
Apply for credit,Manage budget,1
Deploy an application,Organize training,0
Repair furniture,Take the subway,0
Bake bread,Make an omelet,1
Speak publicly,Write a report,1
Create a website,Deploy an application,1
Drive a truck,Send an email,0
Grill meat,Prepare a smoothie,1
Practice yoga,Practice boxing,1
Supervise students,Prepare a lesson,1
Pay bills,Go grocery shopping,1
Take a plane,Supervise students,0
Drive a truck,Trim trees,0
Create artwork,Do accounting,0
Organize training,Evaluate students,1
Repair a computer,Automate a task,1
